city,country,year,month,lat,lon,avg_temp_month,max_temp_month,min_temp_month,alpha-3,region
Abu Dhabi,United Arab Emirates,2024,1,24.47,54.37,21.5,26.6,17.5,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,1,24.47,54.37,18.9,25.8,13.7,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,2,24.47,54.37,22.3,32.2,14.6,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,3,24.47,54.37,25.7,35.6,18.4,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,4,24.47,54.37,26.6,38.6,17.0,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,5,24.47,54.37,32.0,42.4,21.1,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,6,24.47,54.37,34.1,44.1,25.6,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,7,24.47,54.37,36.3,46.0,27.0,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,8,24.47,54.37,36.2,45.2,28.0,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,9,24.47,54.37,33.9,41.8,28.6,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,10,24.47,54.37,30.9,38.5,26.1,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,11,24.47,54.37,27.3,33.8,22.3,ARE,Asia
Abu Dhabi,United Arab Emirates,2023,12,24.47,54.37,23.3,27.8,19.2,ARE,Asia
Berlin,Germany,2024,1,52.52,13.4,0.4,9.7,-7.3,DEU,Europe
Berlin,Germany,2023,1,52.52,13.4,1.2,4.9,-1.6,DEU,Europe
Berlin,Germany,2023,2,52.52,13.4,3.9,12.1,-4.0,DEU,Europe
Berlin,Germany,2023,3,52.52,13.4,6.1,17.3,-1.7,DEU,Europe
Berlin,Germany,2023,4,52.52,13.4,7.9,20.0,-2.4,DEU,Europe
Berlin,Germany,2023,5,52.52,13.4,13.8,26.6,4.2,DEU,Europe
Berlin,Germany,2023,6,52.52,13.4,19.6,31.0,7.5,DEU,Europe
Berlin,Germany,2023,7,52.52,13.4,20.5,35.2,12.0,DEU,Europe
Berlin,Germany,2023,8,52.52,13.4,20.3,31.7,11.7,DEU,Europe
Berlin,Germany,2023,9,52.52,13.4,20.2,31.4,10.7,DEU,Europe
Berlin,Germany,2023,10,52.52,13.4,12.6,27.0,4.8,DEU,Europe
Berlin,Germany,2023,11,52.52,13.4,6.1,14.9,-4.9,DEU,Europe
Berlin,Germany,2023,12,52.52,13.4,3.9,11.5,-6.3,DEU,Europe
Johannesburg,South Africa,2023,1,-26.2,28.08,22.5,32.4,15.5,ZAF,Africa
Johannesburg,South Africa,2024,1,-26.2,28.08,21.7,32.8,12.6,ZAF,Africa
Johannesburg,South Africa,2023,2,-26.2,28.08,19.8,30.9,13.6,ZAF,Africa
Johannesburg,South Africa,2023,3,-26.2,28.08,22.2,34.8,13.4,ZAF,Africa
Johannesburg,South Africa,2023,4,-26.2,28.08,19.0,28.5,9.2,ZAF,Africa
Johannesburg,South Africa,2023,5,-26.2,28.08,15.4,26.9,5.7,ZAF,Africa
Johannesburg,South Africa,2023,6,-26.2,28.08,13.0,22.9,4.5,ZAF,Africa
Johannesburg,South Africa,2023,7,-26.2,28.08,11.2,24.2,0.3,ZAF,Africa
Johannesburg,South Africa,2023,8,-26.2,28.08,15.1,27.6,2.7,ZAF,Africa
Johannesburg,South Africa,2023,9,-26.2,28.08,20.2,30.1,7.4,ZAF,Africa
Johannesburg,South Africa,2023,10,-26.2,28.08,21.5,33.1,6.6,ZAF,Africa
Johannesburg,South Africa,2023,11,-26.2,28.08,23.0,33.7,8.0,ZAF,Africa
Johannesburg,South Africa,2023,12,-26.2,28.08,22.4,33.7,11.9,ZAF,Africa
Mexico City,Mexico,2023,1,19.43,-99.13,16.4,26.1,8.3,MEX,Americas
Mexico City,Mexico,2024,1,19.43,-99.13,16.1,24.7,8.5,MEX,Americas
Mexico City,Mexico,2023,2,19.43,-99.13,17.0,29.6,6.3,MEX,Americas
Mexico City,Mexico,2023,3,19.43,-99.13,19.8,31.1,8.6,MEX,Americas
Mexico City,Mexico,2023,4,19.43,-99.13,20.1,30.0,10.4,MEX,Americas
Mexico City,Mexico,2023,5,19.43,-99.13,19.6,29.1,12.5,MEX,Americas
Mexico City,Mexico,2023,6,19.43,-99.13,21.9,32.6,12.3,MEX,Americas
Mexico City,Mexico,2023,7,19.43,-99.13,17.9,26.9,11.4,MEX,Americas
Mexico City,Mexico,2023,8,19.43,-99.13,17.1,26.5,10.4,MEX,Americas
Mexico City,Mexico,2023,9,19.43,-99.13,17.8,27.1,10.4,MEX,Americas
Mexico City,Mexico,2023,10,19.43,-99.13,17.3,26.2,6.2,MEX,Americas
Mexico City,Mexico,2023,11,19.43,-99.13,16.5,27.8,6.4,MEX,Americas
Mexico City,Mexico,2023,12,19.43,-99.13,14.1,24.4,7.7,MEX,Americas
Moscow,Russian Federation,2024,1,55.75,37.62,-14.0,0.5,-28.1,RUS,Europe
Moscow,Russian Federation,2023,1,55.75,37.62,-3.6,0.3,-8.4,RUS,Europe
Moscow,Russian Federation,2023,2,55.75,37.62,-6.1,1.4,-18.7,RUS,Europe
Moscow,Russian Federation,2023,3,55.75,37.62,-0.6,13.5,-16.7,RUS,Europe
Moscow,Russian Federation,2023,4,55.75,37.62,8.6,18.3,-0.1,RUS,Europe
Moscow,Russian Federation,2023,5,55.75,37.62,12.8,25.8,-0.7,RUS,Europe
Moscow,Russian Federation,2023,6,55.75,37.62,16.8,28.0,5.1,RUS,Europe
Moscow,Russian Federation,2023,7,55.75,37.62,18.4,28.4,10.9,RUS,Europe
Moscow,Russian Federation,2023,8,55.75,37.62,20.1,30.9,9.9,RUS,Europe
Moscow,Russian Federation,2023,9,55.75,37.62,16.5,27.1,6.9,RUS,Europe
Moscow,Russian Federation,2023,10,55.75,37.62,6.0,19.8,-2.4,RUS,Europe
Moscow,Russian Federation,2023,11,55.75,37.62,1.0,13.0,-15.4,RUS,Europe
Moscow,Russian Federation,2023,12,55.75,37.62,-6.9,2.1,-22.8,RUS,Europe
Sri Ganganagar,India,2024,1,29.92,73.88,15.3,24.8,7.8,IND,Asia
Sri Ganganagar,India,2023,1,29.92,73.88,13.7,22.9,5.1,IND,Asia
Sri Ganganagar,India,2023,2,29.92,73.88,20.2,37.0,6.9,IND,Asia
Sri Ganganagar,India,2023,3,29.92,73.88,25.3,40.7,13.3,IND,Asia
Sri Ganganagar,India,2023,4,29.92,73.88,28.4,42.1,15.1,IND,Asia
Sri Ganganagar,India,2023,5,29.92,73.88,31.8,45.2,21.0,IND,Asia
Sri Ganganagar,India,2023,6,29.92,73.88,34.4,44.6,21.4,IND,Asia
Sri Ganganagar,India,2023,7,29.92,73.88,32.5,42.5,26.1,IND,Asia
Sri Ganganagar,India,2023,8,29.92,73.88,34.5,42.1,28.8,IND,Asia
Sri Ganganagar,India,2023,9,29.92,73.88,33.5,43.5,24.4,IND,Asia
Sri Ganganagar,India,2023,10,29.92,73.88,29.2,39.7,19.2,IND,Asia
Sri Ganganagar,India,2023,11,29.92,73.88,23.6,34.5,14.7,IND,Asia
Sri Ganganagar,India,2023,12,29.92,73.88,18.2,26.8,9.9,IND,Asia
Sydney,Australia,2023,1,-33.88,151.22,23.6,30.7,18.0,AUS,Oceania
Sydney,Australia,2024,1,-33.88,151.22,22.4,31.0,17.9,AUS,Oceania
Sydney,Australia,2023,2,-33.88,151.22,22.9,30.4,15.7,AUS,Oceania
Sydney,Australia,2023,3,-33.88,151.22,22.7,38.1,14.7,AUS,Oceania
Sydney,Australia,2023,4,-33.88,151.22,18.6,26.1,11.7,AUS,Oceania
Sydney,Australia,2023,5,-33.88,151.22,15.2,23.4,8.2,AUS,Oceania
Sydney,Australia,2023,6,-33.88,151.22,14.3,23.1,6.5,AUS,Oceania
Sydney,Australia,2023,7,-33.88,151.22,14.4,23.2,7.1,AUS,Oceania
